"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"D6RD17;P01591",9.25917090667246,7.23623492400824,8.18470404725109,4.57974173927808e-06,0.00155711219135455,3.91740016157025
"A0A024RA55;A0A3B3ISS6;A8K7R3;B2R5R1;B4DLL5;B4DN79;B4E3D4;Q14956;Q14956-2",8.39096469575734,10.5278476531423,7.05179487859906,5.24309552948167e-05,0.00891326240011883,1.57933903002817
"C9JF17;P05090",6.36987070749657,9.44796594810432,5.99985641206674,0.000120108110445031,0.011793102525205,1.26168441204062
"A0A1S5UZ07;Q9Y490",-4.18865212223918,8.12853576387304,-5.44597638926527,0.000138742382649471,0.011793102525205,1.2578140000345
"P67936-2",-6.56212400544128,8.41312512630854,-5.37779447150455,0.000208291342015408,0.0127709010101394,0.887504601951144
"B7ZLY3;C9JD84;E7EV71;Q14766;Q14766-2;Q14766-3;Q14766-4;Q14766-5",-6.94604329101847,6.27267544607838,-5.5468618712176,0.000225368841355402,0.0127709010101394,0.760979288116674
"B3KUE5;P55058;Q53H91",6.03406433541137,10.2378718042167,4.9711396749536,0.000306298062618816,0.0148773344700568,0.563058769398402
"A0A024R374;A0A7I2V440;A0A7I2V668;A0A7P0NGZ6;B4DL49;E9PHZ5;P07858",5.16482870695901,9.74413444255121,4.8009824621252,0.000520498284175368,0.0221211770774532,0.099639874269549
"A0A024R3I5;A8K6A6;B2R642;B3KXZ9;P43121",-5.06129454785138,7.07846628519332,-4.66500215829397,0.000650326081922476,0.0245678742059602,-0.0944749241675211
"A0A024RAA5;B4E1U9;P60953",-6.07406916273098,7.47751148821942,-4.54233034709231,0.000796742368413253,0.0270892405260506,-0.272238841923923
"C0JYY2",5.42176196655165,9.87380565165359,4.28996631549765,0.0010057390270335,0.0310426373436717,-0.497361001951874
"A0A286YEY1;P01876;Q6MZW0;Q8NCL6;Q9UP60",3.71951832164723,14.3021522311404,4.24216447677412,0.00109562249448253,0.0310426373436717,-0.574332359013251
"A0A024R6G3;G3V4U0;Q9UBX5",-3.15769336721839,10.2939033023109,-4.25822927232387,0.00128491588635842,0.0322369219954731,-0.693194304230861
"D6RGG3;Q99715;Q99715-4",-3.2720410812433,11.458733101191,-4.2391120109008,0.00132740267040184,0.0322369219954731,-0.721966752171486
"P67936;V9HW56",-2.88726067620581,11.2292408447146,-4.03365421850576,0.00159630381726744,0.0337438455378697,-0.913496934579016
"Q05707;Q05707-2",-3.03110293843284,9.86853204797038,-3.97709522062617,0.00176928512605488,0.0337438455378697,-1.00639290222098
"A2RTY6;D3DRR6;P19823;Q5T985",3.26454292984554,10.1174523277354,3.97630312348844,0.00177184033750098,0.0337438455378697,-1.00769643385098
"P0DJI8",-4.70077797910482,11.7026854285234,-3.94289569876767,0.00188314229560989,0.0337438455378697,-1.06273641055164
"A0A5K1VW95;B9A041;P40925;P40925-2;P40925-3;V9HWF2",-3.40769737099073,8.37709586824757,-4.03444370805354,0.00188568548593978,0.0337438455378697,-1.03331096919426
"A0A140VJY2;I3L0K7;I3L239;Q12931;Q12931-2;Q53FS6;Q53G55;Q8N9Z3;Q9BV61",-3.43850463682123,11.0718335452445,-3.97358605620291,0.00209516301763738,0.0346351092974694,-1.12700386955236
"A3KPE2;B0YIW2;P02656",5.63716038589635,8.15779855236492,3.8731686387217,0.00213922733896135,0.0346351092974694,-1.17799451814904
"A0A087WU13;A0A2R8Y478;A0A7I2V3T0;A0A7I2V3T7;A6NNI4;B4DPP0;F5GXT1;G8JLH6;P21926",-3.26518996426329,12.164595583708,-3.83182678243668,0.00230770940973391,0.0351186974903782,-1.24656373150555
"A0A024RAB6",-4.6230521346769,9.31965988661611,-3.79270928240631,0.00247967465243001,0.0351186974903782,-1.31159400341451
"A0A6Q8PFK8;P04792;V9HW43",-2.78180007543632,12.7653315030566,-3.77792109231811,0.00254806109474061,0.0351186974903782,-1.33621508011452
"Q6GMW4",4.97033239527389,9.72539431624975,3.85351935696621,0.00258225716841016,0.0351186974903782,-1.31324435149873
"P12429",-4.98202217480497,7.2811161309469,-3.76324820530317,0.00302474316362476,0.0395543336781699,-1.45440974638374
"D9YZV5;P09493-3",-3.17607513980148,7.11205452153933,-3.67148222490982,0.00355527973575073,0.0447701892650092,-1.59883568156803
"K7ELW0;Q99497;V9HWC2",-3.33651912401033,10.1167436458773,-3.56257445919315,0.00379413233044029,0.0460716068696321,-1.69676398114557
"Q562R1",-3.68877388310657,13.5642366510257,-3.52807311276325,0.00458375503826054,0.0525760407256383,-1.8262027774599
"P26038;V9HWC0",-2.5831590785355,10.465377068756,-3.52132768150081,0.00463906241696809,0.0525760407256383,-1.83694232291374
"A0A1B0GV23;A0A1B0GVD5;A0A1B0GW44;A0A1B0GWE8;C9JH19;F8W787;P07339;V9HWI3",2.65111384956703,11.5483087885802,3.33416239999612,0.00580659294156663,0.0636852129075049,-2.08226793039271
"A4D2P0;A4D2P1;P63000;P63000-2",4.30875915531899,11.9388748337295,3.26883510255929,0.00656098968256704,0.0687455696417218,-2.19286103121899
"J3KRE2;J3KTF8;J3QQX2;P52565;V9HWE8",-2.27985315515467,9.3837634403538,-3.25983856434658,0.00667236411228476,0.0687455696417218,-2.20809735696695
"A0A024R5W6;P09493-7",-2.09846288388139,13.3196583183955,-3.18441513038146,0.00768430469162651,0.0768430469162651,-2.3358608781673
"H3BR70;Q504U3",-2.64143945802197,8.45236653129936,-3.18475453529479,0.00847315435733391,0.0777822209256342,-2.37664714637826
"B4DLV7;P50395;Q6IAT1",-3.24309364166642,7.44045934274934,-3.17704290660286,0.00859154506631798,0.0777822209256342,-2.38907695152675
"A6NLG9;A8K7E0;B4DDQ2;P21810;Q53FI4",-2.32872193082109,11.6817294426354,-3.12034867359464,0.00866432421200345,0.0777822209256342,-2.44438345485944
"A0A0K0K1L8;A0A384NQ35;Q06323;Q6FHU3",-3.61328768236601,8.05631963849116,-3.11856669095316,0.00869330704462971,0.0777822209256342,-2.4474013848793
"A0A384P5K2;B4DY28;P21291",-4.57976679761633,6.99320686608565,-3.06843091891848,0.00954979572358159,0.0810157705080335,-2.53228711048869
"B4E1B2",5.84726027824398,9.66851430130185,3.17285570407452,0.00966406333200245,0.0810157705080335,-2.44192459739001
"P02652;V9GYE3;V9GYM3",3.71986411963978,8.14966239474558,3.02898986760367,0.0102825403826765,0.0810157705080335,-2.59902255766673
"A0A024R757;C9JKI3;Q03135-2;Q7Z4F3",-4.20394137344796,5.26620600029673,-3.02167564747661,0.0104244778620091,0.0810157705080335,-2.61139310066589
"A0A024RCB3;A0A6M5CDG2;A0A6M5CH24;A0A6M5CII8;E9PMR4;E9PRJ3;K4DIA7;P48509;Q53FU5",-2.85326860930315,10.9643792836115,-3.02145633186367,0.0104287639164814,0.0810157705080335,-2.61176400061165
"P07951-3",-3.62628900284207,11.0208809048991,-3.01861790997865,0.0104843938304514,0.0810157705080335,-2.61656410035119
"A0A0S2Z3Y1;B4DVE1;Q08380",-2.57211844225604,10.8789348411412,-2.99419256938515,0.0109755114664073,0.0814593610569329,-2.65785770483063
"A0A024RDY3;B3KRY3;P11279",4.53844756591841,8.48775088808732,2.99198701931651,0.0110209723782909,0.0814593610569329,-2.66158525427068
"A3R0T7;A3R0T8;B2R984;P10412;Q4VB24",4.38363458259879,10.1172274062233,2.9228588176997,0.0125450038570847,0.0907510917321019,-2.77830149465846
"P01871;P01871-2",2.81138389616205,11.3368597809335,2.89486087922167,0.0132203259903888,0.0936439757652541,-2.82549894787039
"D3DSM4;D3DSM5;P39060;P39060-1;P39060-2",-1.9073046046703,10.199742388938,-2.88309897603851,0.0135146826076409,0.0937753487060794,-2.84531173877066
"A0A5C2GXS3",3.10246300558614,7.62063752795094,2.90302608640919,0.0140828145163355,0.0955525485727182,-2.83117193371683
"P78539;P78539-2;P78539-3;P78539-5;V9HW11",-4.30993576281197,8.20297641333064,-2.94437319705405,0.0143328822859077,0.0955525485727182,-2.79879681215965
"B2R4R0;P62805",4.99349640744681,10.9094334181221,2.81248616214058,0.0165836882679847,0.106981354870955,-2.97700132271366
"A0A024R6C0;B4DV10;E7EMS2;G3V2V8;G3V3D1;G3V3E8;H0YIZ1;J3KMY5;P61916;P61916-2;Q53HV6",4.4427242626494,5.57705111737363,2.80939408819374,0.0166765053181194,0.106981354870955,-2.98197543799785
"A0A024R0T8;K7ERI9;P02654",4.20717880333852,9.67524588836169,2.73295922748065,0.017893415535439,0.112360292104094,-3.09725866369958
"P02741",-2.89168797856116,11.0060506805034,-2.72456213184544,0.018175929605074,0.112360292104094,-3.11128724575074
"A8K486;P62937;V9HWF5",-1.97010901876819,10.6305328338517,-2.69082938976759,0.0193556956930087,0.11751672385041,-3.16756390114727
"D2JYH4;P62736",-2.57671012731037,15.9181817433593,-2.66576194932813,0.0202807727786856,0.119154909916376,-3.2092977927001
"B7Z9B1;P55290;P55290-4",-2.38053303294937,11.8848126207459,-2.66393932122777,0.0203496995589878,0.119154909916376,-3.21232921102823
"A0A0S2Z2Z6;A0A0S2Z377;A8K3Q7;P08133;P08133-2",-2.71309240830762,10.7825488345179,-2.65536933610125,0.0206768814266653,0.119154909916376,-3.22657729949082
"Q9GZL9",-4.09331731292537,13.2695913523917,-2.62809642162772,0.0217527394539103,0.121672341354905,-3.27185662818781
"A0A024R462",-2.37443025348699,10.8274960459383,-2.62620253488013,0.02182944947838,0.121672341354905,-3.27499723162262
"A0A087X0S5;A0A384P5H7;P12109",-2.71349556747552,9.57400425997122,-2.58438348908833,0.023592222214447,0.124454789926256,-3.3442168330076
"P01023",2.71796590959561,12.2825109323988,2.5764306846754,0.0239428225135647,0.124454789926256,-3.35735166549636
"B7ZW00;E7ENL6;P12111-4",-3.13898784876764,11.0782077535969,-2.57001695106083,0.0242292657048909,0.124454789926256,-3.36793761383237
"A0A5K1VW97;H0YMF1;P16112;P16112-2",-3.37293965468929,10.5088640060306,-2.56471209227199,0.0244687048303402,0.124454789926256,-3.37668859416171
"Q15404;Q15404-2;Q32Q10",-2.70753876355729,8.90238728563743,-2.59606538738851,0.0244942484687925,0.124454789926256,-3.32356671454207
"U6A3P2",-4.4857294657104,15.6403096630325,-2.59536939823988,0.024524914485468,0.124454789926256,-3.32467460818858
"P59665;P59666;Q6EZE9",3.91347588418386,11.8581391195475,2.5406225894394,0.0255852851152901,0.125629018539182,-3.41637156863028
"B3KQE9;B4DYF8;O75427",3.00849468617906,6.01846721375284,2.60897224207472,0.0256308062564097,0.125629018539182,-3.29826280588214
"A0A7P0T861;B4DHR1;K7EL50;P27797;Q53G71;V9HW88",-4.19642738763352,6.17421056083198,-2.71244341574319,0.0258647979345375,0.125629018539182,-3.20419613625805
"A0A024QZN4;A0A384NYN5;P18206;P18206-2;V9HWK2",-1.55215151209578,11.1521157287019,-2.52684056658927,0.0262462127272999,0.125686089116647,-3.4390328612932
"P21333;P21333-2",-1.61397283173355,13.6810267641324,-2.47959499305501,0.028640017765937,0.135244528339147,-3.51647225428075
"A0A024RAQ9;P13611;P13611-5;Q59FG9",-2.72088911241518,15.326339322269,-2.45593149727076,0.029917119154398,0.138595731053723,-3.55510873427521
"P04083;Q5TZZ9",-1.88199437390415,11.4659538237072,-2.45145269715971,0.0301649532293398,0.138595731053723,-3.56240970906019
